Ticker,Category Name,Family,Legal Type,Annual Report Expense Ratio,Annual Holdings Turnover,Total Net Assets,Cash Position,Stock Position,Bond Position,Preferred Position,Convertible Position,Other Position,Price/Earnings,Price/Book,Price/Sales,Price/Cashflow,Median Market Cap,3 Year Earnings Growth,Duration,Maturity,Credit Quality,Bb,Aa,Aaa,A,Other,B,Bbb,Below B,Us Government,Realestate,Consumer Cyclical,Basic Materials,Consumer Defensive,Technology,Communication Services,Financial Services,Utilities,Industrials,Energy,Healthcare,Top Position 1,Top Position 2,Top Position 3,Top Position 4,Top Position 5,Top Position 6,Top Position 7,Top Position 8,Top Position 9,Top Position 10,Weight of Top Position 1,Weight of Top Position 2,Weight of Top Position 3,Weight of Top Position 4,Weight of Top Position 5,Weight of Top Position 6,Weight of Top Position 7,Weight of Top Position 8,Weight of Top Position 9,Weight of Top Position 10,Ticker
AAA,Ultrashort Bond,Alternative Access Funds,Exchange Traded Fund,0.0025,0.28,0.0,0.0987,0.0,0.90139997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.78,10.019,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA
AAAU,Commodities Focused,Goldman Sachs,Exchange Traded Fund,0.0018000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAAU
AADR,Foreign Large Growth,AdvisorShares,Exchange Traded Fund,0.011,0.45,28731.42,0.0056,0.9944,0.0,0.0,0.0,0.0,0.07345,0.51286,0.54409,0.12253,,,,,,,,,,,,,,0.0,0.0,0.1249,0.0346,0.0,0.1377,0.1122,0.3149,0.060399998,0.097399995,0.0394,0.0785,VRNA,GGAL,ERJ,BMA,YPF,MUFG,QFIN,PAM,HMY,BBVA,5.5,4.7,4.49,4.17,3.92,3.68,3.6,3.46,3.44,3.43,AADR
AAPB,Trading--Leveraged Equity,Graniteshares,Exchange Traded Fund,0.0115,0.0,0.0,1.026,-0.025999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAPB
AAPD,Trading--Inverse Equity,Direxion Funds,Exchange Traded Fund,0.01,0.0,0.0,0.94879997,-0.123,0.0,0.0,0.0,0.1742,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAPD
AAPR,Defined Outcome,Innovator ETFs,Exchange Traded Fund,0.007900001,0.14,327242.12,0.005,0.9949,0.0,0.0,0.0,0.0,0.04089,0.22299,0.32731,0.05721,,,,,,,,,,,,,,0.0,0.0214,0.1069,0.0172,0.0589,0.3291,0.097600006,0.1393,0.0249,0.078600004,0.03,0.0962,,,,,,,,,,,,,,,,,,,,,AAPR
AAPU,Trading--Leveraged Equity,Direxion Funds,Exchange Traded Fund,0.0097,0.3,3172812.0,0.65709996,0.061300002,0.0,0.0,0.0,0.28170002,0.0296,0.03333,0.1217,0.0333,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,,,,,,,,,,11.76,,,,,,,,,,AAPU
AAPW,Trading--Miscellaneous,Roundhill Investments,Exchange Traded Fund,0.0099,0.0,0.0,-0.19389999,1.1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,FGXXX,AAPL,,,,,,,,,30.73,19.87,,,,,,,,,AAPW
AAPX,Trading--Leveraged Equity,"Tuttle Capital Management, LLC",Exchange Traded Fund,0.0105,0.0,3172812.0,0.0,0.6812,0.3188,0.0,0.0,0.0,0.0296,0.03333,0.1217,0.0333,,,,10.0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,,,,,,,,,,68.12,,,,,,,,,,AAPX
AAPY,Derivative Income,Kurv Investment Management Inc.,Exchange Traded Fund,0.01,0.0,0.0,0.4057,-0.0833,0.6776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.816,,,,,,,,,,1.044,,,,,,,,,,,,FIGXX,,,,,,,,,,1.87,,,,,,,,,,AAPY
AAVM,Equity Hedged,Alpha Architect,Exchange Traded Fund,0.0041,0.33,19432.18,0.0092,0.9908,0.0,0.0,0.0,0.0,0.06821,0.5053,0.86622,0.11906,,,,,,,,,,,,,,0.0,0.015800001,0.1489,0.0498,0.0685,0.1345,0.1066,0.097200006,0.0345,0.2036,0.0728,0.0678,IMOM,QMOM,IVAL,QVAL,FGXXX,,,,,,30.32,27.26,22.39,19.89,0.14,,,,,,AAVM
